lessonId,courseId,module,lessonTitle,candidateFilename,candidateLocalPath,score,llmConfidence,llmRationale,approved_lessonId
02_ads_m04_ads_economics_005,02_ads,m04_ads_economics,"Какие расходы съедают прибыль: комиссии, логистика и постоянные затраты  | Unit-экономика по SKU, 4",003_3_3_chast_zapolnyaem_parametry_prodavtsa_i_vnutren.mp4,E:/Academy Courses/02_ads/m04_ads_economics/003_3_3_chast_zapolnyaem_parametry_prodavtsa_i_vnutren.mp4,5.00,,,02_ads_m04_ads_economics_005
02_ads_m04_ads_economics_006,02_ads,m04_ads_economics,"Как учесть коммерческие расходы и налоги в юнит-экономике  | Unit-экономика по SKU, 5",003_4_4_chast_zapolnyaem_rashody_marketpleysa_na_edini.mp4,E:/Academy Courses/02_ads/m04_ads_economics/003_4_4_chast_zapolnyaem_rashody_marketpleysa_na_edini.mp4,5.00,,,02_ads_m04_ads_economics_006
02_ads_m04_ads_economics_007,02_ads,m04_ads_economics,"Как посчитать итоговую прибыль и оборачиваемость товара  | Unit-экономика по SKU, 6",003_5_5_zapolnyaem_kommercheskie_rashody_nalog.mp4,E:/Academy Courses/02_ads/m04_ads_economics/003_5_5_zapolnyaem_kommercheskie_rashody_nalog.mp4,5.00,,,02_ads_m04_ads_economics_007
02_ads_m04_ads_economics_008,02_ads,m04_ads_economics,"Как посчитать итоговую прибыль и оборачиваемость товара  | Unit-экономика по SKU, 7",003_6_6_chast._itogi_oborachivaemost.mp4,E:/Academy Courses/02_ads/m04_ads_economics/003_6_6_chast._itogi_oborachivaemost.mp4,5.00,,,02_ads_m04_ads_economics_008
02_ads_m06_strategies_008,02_ads,m06_strategies,"Как оптимизировать расходы по локомотиву | Поддержка локомотивов и склеек, 3",002_3_optimiziruem_drugie_rashody.mp4,E:/Academy Courses/02_ads/m06_strategies/002_3_optimiziruem_drugie_rashody.mp4,5.00,,,02_ads_m06_strategies_008
